name,uuid,processsor,secrets
multiflag,7294b106-7d59-4101-993c-585c48a7b2c0,default,1
sewer,77709265-8dcf-4746-a099-f556c2338ead,default,7
super-tall,7a594650-2a42-46e5-81a6-9b7d198e9c1c,default,6
arrow-trap,7d975e04-15c8-40cb-8c12-d664edc1b0d7,default,1
end,7dd6596f-c647-4144-9eec-fb4690e12251,default,2
spider,8116e928-56f1-4e0b-933a-f86b841938c8,default,9
trap-hard,81cf3e0b-70c5-4803-9169-7e7864b096ce,default,4
Sand-Dragon,83e1ab6b-ad44-469e-a6bf-71c6bebcab4b,default,1
temple,845aec22-bc9e-4d50-b8de-db67188232e9,default,3
miniboss-3,845d88aa-4feb-4df0-8887-c9d0008809cc,default,0
mushroom,86a3b53b-6ede-43bd-8988-135001149d4b,default,1
entrance-edge2,8817737a-966e-42eb-8618-27bbdd40c38b,default,0
mural,8b4ec0bf-b783-4e66-b5fa-89493ac6efa1,default,1
layers,8c184746-6857-480a-958e-f22e09bb1295,default,8
trap-very-hard2,8e6409d8-ea3f-4348-ae30-f8f1e15d05b9,default,3
pressure-plates,8f317c52-6550-42dd-829b-2a477389fe89,default,6
blue-skulls,9087fdc7-43e2-4736-b53b-33477ac65351,default,1
purple-flags,91068a01-bd3e-402c-99aa-e148f9f04c41,default,5
puzzle-water,9139cb1c-b6f3-4bac-92de-909b1eb73449,puzzle_water_solver,0
hanging-vines,9416cda0-c7ca-4377-a2a8-60493734ac81,default,1
multicolored,95c57abe-34d4-443c-baac-11d43cbc821f,default,1
overgrown,9650cb39-5f22-45f4-86cd-5d197a4266e5,default,3
knight,9890fbac-d382-4525-ab88-fe1ebc118702,default,3
puzzle-icefill,990f6e4c-f7cf-4d27-ae91-11219b85861f,puzzle_icefill,0
silvers-sword,9a0e71bf-babd-421e-a785-442c13d5a8b2,default,1
water,9b949f89-1542-4bcf-9bf3-063ec69bc5f4,default,2
atlas,9cd523a2-0c7f-4072-a374-9b99d59554ea,default,6
pillars,9fa09d68-c483-4320-872e-9e07b049ee37,default,1
red-crypt,9fea6e90-994d-4792-a742-05853b376f2c,default,3
puzzle-silverfish,a053f4fa-d6b2-4aef-ae3e-97c7eee0252e,puzzle_silverfish,0
mini-rail-track,a05c7379-d3e7-41e8-9a69-2933b4ffaa81,default,3
diagonal,a069f006-0728-4952-8d9f-1d318cee60d8,default,4
lava-ravine,a0c57185-4e1a-4fdd-979d-6ed0957e78fb,default,6
beams,a1c8fd24-c105-49b6-ba56-51dfbb7023cb,default,2
miniboss-2,a24974d4-5166-427a-9297-884ccd49818b,default,0
dip,a2c5d503-55e7-4e5c-8fc0-5d37f2ac19bf,default,2
zodd,a40a5e95-1700-406d-b167-7efb13da9599,default,1
granite,a5b419e7-49ee-4d6d-bdce-470f508b315d,default,2
miniboss-1,a637f6db-5b60-49c7-b281-87226428a394,default,0
leaves,a7321dea-d35f-44f9-a5b0-0bcaf414dc12,default,1
withermancers,a7f00d0f-bbf5-4d80-8eed-f3e28477879c,default,4
skull,ae5b48ac-43ec-4837-a34e-ac70cba71481,default,2
stone-window,af86da97-0140-44cf-a922-0af8f0885568,default,2
puzzle_kahoooooooot!,b2dce4ed-2bda-4303-a4d7-3ebb914db318,puzzle_trivia,0
lava-pool,b2df250c-4af2-4201-963c-0ee1cb6bd3de,default,3
gold,b58cfdf5-a11d-4f28-b3c4-6576e5157374,default,1
andesite,b9e8fcee-dce8-40fd-8f3a-d8cb5c3edd70,default,2
duncan,c1b1eaf0-d6de-4d1f-944b-e1b3205ef7d0,default,1
puzzle-riddle,c2ea0a41-d495-437f-86cc-235a71c49f22,puzzle_riddle_solver,0
miniboss-4,c4984e03-85e5-413d-8147-93e518163c3c,default,0
fairy,c5d36bd2-b50c-4c55-96e4-7789ca43b937,default,0
pit,c6c65c08-893a-42f7-ad9e-cecc0f0bdeaf,default,5
mirror,c6ebcdb2-4ea8-4387-b997-031bd56f7e3b,default,1
entrance-contained,c721253a-bc5f-4a0a-9a98-e05e59606a87,default,0
bridges,c9078cd2-91d4-457d-ae30-3579293821da,default,6
jumping-skulls,cab054ed-b9ea-4f54-9d23-9864a50789f0,default,1
tower,cd735e4d-d728-4432-9d31-ac1c0b4e578e,default,3
puzzle-blaze-down-to-top,cf44c95c-950e-49e0-aa4c-82c2b18d0acc,puzzle_blaze_solver,1
puzzle-box,cf6d49d3-4f1e-4ec9-836e-049573793ddd,puzzle_box,0
puzzle-blaze-top-bottom,d3e61abf-4198-4520-a950-a03761a0eb6f,puzzle_blaze_solver,1
raccoon,d4a015ae-f123-4696-8fb6-719b5a21b623,default,4
mage,d712ae5b-903a-4d80-96ee-8ee54b050ea5,default,4
redstone-warrior,dc5d63b3-3dc4-41f1-a79c-973271ba71c2,default,3
buttons,dfe5d13c-3284-4ad3-aadf-9719f2c12a6e,button_5,5
cathedral,e0608346-08a0-490b-a6d5-96786ebd5d96,default,8
catwalk,e22c44d7-4094-4230-89ba-efa438aa3615,default,6
sarcophagus,e66fe526-22c1-45bc-b4a8-d10549d7ee3f,default,3
lava-skull,e6d51aea-c715-4396-986d-2e09d31993e1,default,3
locked-away,e773dc09-f989-4d8f-8aba-43dbb71e7b62,default,1
prison-cell,e7e0bb38-8fc3-4d7c-a0c6-1fce55ac9082,default,1
well,e83ed91c-4a35-4020-985a-d0306f17117a,default,7
altar,e96feab1-39a0-4bd6-8d18-08807b7b0668,default,6
spikes,e9f4f98a-0913-4542-a02d-4ed3cec6f09b,default,3
cavern,ed57833a-01ca-4487-b516-6c3690c6221c,default,8
small-stairs,ef097340-7c03-407d-b634-7bf7af551d01,default,2
sanctuary,f8bee714-de5b-4007-a572-575fcd467c82,default,1
carpets,f9ebf3b3-1fda-4670-a296-f6ed39514129,default,1
deathmite,fd34b23c-ce7c-4df6-9f5b-0aa23ba9a758,default,6
puzzle-teleport2,ffd5411b-6ff4-4f60-b387-72f00510ec50,puzzle_teleport_solver,0
